file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,94,css,5f1e78f2,Risa Schloyer,2026-04-10,12:58:26,-07:00,2026-04-10T12:58:26-07:00,0,0
style.css,95,css,5f1e78f2,Risa Schloyer,2026-04-10,12:58:26,-07:00,2026-04-10T12:58:26-07:00,0,22
style.css,96,css,5f1e78f2,Risa Schloyer,2026-04-10,12:58:26,-07:00,2026-04-10T12:58:26-07:00,1,15
style.css,97,css,5f1e78f2,Risa Schloyer,2026-04-10,12:58:26,-07:00,2026-04-10T12:58:26-07:00,1,17
style.css,98,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,99,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,100,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,12
style.css,101,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,15
style.css,102,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,103,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,104,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,15
style.css,105,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,14
style.css,106,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,20
style.css,107,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,108,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,109,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,15
style.css,110,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,16
style.css,111,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,19
style.css,112,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,20
style.css,113,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,41
style.css,114,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,115,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,116,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,15
style.css,117,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,19
style.css,118,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,119,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,0
style.css,120,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,0,14
style.css,121,css,86d7a365,Risa Schloyer,2026-04-10,13:10:40,-07:00,2026-04-10T13:10:40-07:00,1,14
